"DATE","Byproduct","Gross_farm_value","Net_farm_value","Wholesale_value","Retail_value","Total","Farm_wholesale","Wholesale_retail"
"June-00","4.5","96.3","91.7","122.1","260.3","168.6","30.4","138.2"
"July-00","4.4","94.3","90.0","123.1","262.3","172.3","33.2","139.2"
"August-00","4.0","84.8","80.8","117.3","265.6","184.8","36.5","148.3"
"September-00","4.1","81.3","77.2","111.9","265.0","187.8","34.6","153.1"
"October-00","4.2","80.6","76.3","114.3","262.1","185.8","38.0","147.8"
"November-00","3.7","70.8","67.0","108.1","259.3","192.3","41.1","151.2"
"December-00","3.9","77.4","73.5","111.1","262.5","189.1","37.6","151.5"
"January-01","3.6","72.2","68.6","107.9","260.6","192.0","39.3","152.7"
"February-01","3.8","77.5","73.7","107.7","261.5","187.8","34.0","153.8"
"March-01","4.5","90.5","86.0","117.3","265.4","179.4","31.3","148.1"
"April-01","4.9","92.2","87.2","120.5","263.3","176.1","33.3","142.8"
"May-01","4.8","97.9","93.0","126.0","266.9","173.9","32.9","141.0"
"June-01","5.0","102.0","97.0","128.4","270.9","173.9","31.5","142.5"
"July-01","5.3","100.5","95.2","126.2","270.5","175.3","31.0","144.3"
"August-01","5.5","98.1","92.6","129.2","276.3","183.7","36.6","147.1"
"September-01","5.0","87.8","82.7","123.9","278.1","195.3","41.2","154.2"
"October-01","4.1","77.2","73.1","113.5","276.4","203.3","40.4","162.9"
"November-01","3.5","66.4","62.9","105.7","271.3","208.4","42.9","165.5"
"December-01","3.3","65.7","62.4","105.5","271.4","209.1","43.1","165.9"
"January-02","3.6","75.1","71.5","108.4","270.8","199.2","36.9","162.3"
"February-02","3.6","76.0","72.4","108.3","271.7","199.3","35.9","163.4"
"March-02","3.4","70.1","66.7","104.6","270.3","203.6","37.9","165.7"
"April-02","3.1","61.7","58.7","98.2","266.7","208.0","39.5","168.5"
"May-02","3.1","64.9","61.8","99.3","269.9","208.1","37.5","170.6"
"June-02","3.6","69.9","66.3","102.6","266.6","200.3","36.3","164.1"
"July-02","4.0","75.9","72.0","104.0","264.2","192.2","32.0","160.2"
"August-02","3.5","63.6","60.1","96.8","266.6","206.5","36.8","169.8"
"September-02","2.8","50.5","47.7","91.2","261.6","213.9","43.5","170.4"
"October-02","3.2","59.3","56.1","98.1","261.0","204.9","42.1","162.8"
"November-02","3.1","56.1","53.0","96.6","259.1","206.2","43.6","162.6"
"December-02","3.4","60.5","57.1","99.0","260.6","203.5","41.8","161.6"
"January-03","3.5","64.3","60.8","101.9","258.2","197.3","41.1","156.2"
"February-03","3.6","66.6","63.0","101.4","262.6","199.6","38.3","161.2"
"March-03","3.6","67.5","63.9","102.1","261.8","197.9","38.3","159.7"
"April-03","3.6","68.1","64.5","101.9","263.8","199.4","37.4","162.0"
"May-03","4.2","81.6","77.4","109.3","258.5","181.1","31.9","149.2"
"June-03","4.5","89.5","85.0","120.4","264.4","179.4","35.4","144.0"
"July-03","4.6","84.1","79.5","113.1","266.3","186.8","33.6","153.2"
"August-03","4.4","78.4","74.0","112.6","270.6","196.7","38.6","158.1"
"September-03","4.6","78.2","73.6","117.0","272.6","199.0","43.4","155.6"
"October-03","4.9","72.2","67.3","108.1","270.5","203.1","40.8","162.4"
"November-03","4.7","67.3","62.7","102.3","272.2","209.5","39.6","169.9"
"December-03","4.5","67.3","62.8","101.8","268.0","205.2","39.0","166.2"
"January-04","4.6","73.0","68.4","107.9","269.3","200.9","39.6","161.3"
"February-04","5.1","84.5","79.4","113.9","269.0","189.6","34.5","155.1"
"March-04","5.4","90.3","85.0","118.8","269.6","184.6","33.9","150.8"
"April-04","5.3","90.4","85.1","121.5","271.3","186.3","36.5","149.8"
"May-04","6.0","109.3","103.3","134.8","276.2","172.9","31.5","141.5"
"June-04","6.1","108.4","102.2","136.0","283.0","180.7","33.7","147.0"
"July-04","6.7","108.8","102.2","135.8","284.7","182.6","33.6","148.9"
"August-04","6.8","105.1","98.3","134.1","288.5","190.2","35.8","154.4"
"September-04","6.9","103.5","96.5","133.7","289.8","193.2","37.1","156.1"
"October-04","6.7","100.4","93.7","131.7","288.7","195.1","38.0","157.0"
"November-04","7.0","105.1","98.2","129.7","281.1","182.9","31.5","151.4"
"December-04","6.3","99.4","93.1","128.8","278.7","185.6","35.7","149.9"
"January-05","5.8","99.8","94.0","130.9","283.4","189.3","36.9","152.5"
"February-05","5.4","95.6","90.1","126.3","284.0","193.9","36.1","157.7"
"March-05","5.3","95.9","90.6","126.0","281.2","190.6","35.4","155.2"
"April-05","5.6","95.4","89.7","125.5","284.9","195.2","35.8","159.4"
"May-05","6.2","103.6","97.4","131.2","289.3","191.9","33.8","158.1"
"June-05","5.8","93.2","87.4","122.1","286.0","198.7","34.7","163.9"
"July-05","5.5","93.4","87.9","123.3","284.0","196.1","35.4","160.7"
"August-05","5.5","96.5","91.0","127.5","282.1","191.1","36.5","154.6"
"September-05","5.5","93.5","88.0","126.5","282.6","194.6","38.5","156.1"
"October-05","5.7","88.8","83.1","122.5","279.2","196.1","39.3","156.8"
"November-05","5.3","82.9","77.6","120.6","277.0","199.4","43.0","156.4"
"December-05","4.9","83.8","78.9","117.8","278.6","199.7","39.0","160.8"
"January-06","4.5","77.4","72.8","110.0","276.3","203.5","37.1","166.3"
"February-06","4.5","80.7","76.2","110.2","279.6","203.4","33.9","169.4"
"March-06","4.4","81.0","76.7","115.8","276.3","199.6","39.1","160.5"
"April-06","4.3","77.5","73.2","113.4","279.6","206.4","40.2","166.2"
"May-06","4.9","91.6","86.7","121.4","276.6","189.9","34.6","155.2"
"June-06","5.3","102.7","97.4","132.7","279.9","182.6","35.3","147.2"
"July-06","5.4","97.0","91.6","129.2","284.2","192.6","37.6","155.0"
"August-06","6.0","99.7","93.7","130.9","285.0","191.3","37.2","154.1"
"September-06","6.0","94.0","88.0","127.6","288.2","200.2","39.6","160.6"
"October-06","5.5","89.0","83.5","125.0","286.6","203.1","41.5","161.6"
"November-06","5.2","86.0","80.7","120.9","279.5","198.8","40.2","158.6"
"December-06","5.1","83.8","78.7","119.4","276.8","198.1","40.6","157.5"
"January-07","5.2","82.4","77.2","117.2","280.2","203.0","40.0","163.0"
"February-07","5.5","90.9","85.4","124.3","279.7","194.3","38.9","155.5"
"March-07","5.5","85.0","79.5","119.7","282.5","203.0","40.3","162.7"
"April-07","5.7","90.6","84.9","123.7","281.3","196.4","38.8","157.6"
"May-07","6.4","101.7","95.3","130.5","287.4","192.0","35.2","156.9"
"June-07","7.0","102.5","95.5","130.8","290.9","195.3","35.3","160.1"
"July-07","7.0","98.0","90.9","126.9","293.6","202.7","35.9","166.8"
"August-07","7.1","97.3","90.2","127.2","293.1","203.0","37.0","166.0"
"September-07","6.5","87.2","80.6","120.7","290.6","210.0","40.1","169.9"
"October-07","6.0","78.5","72.5","114.6","292.9","220.5","42.1","178.4"
"November-07","5.4","69.1","63.7","111.1","286.3","222.6","47.4","175.2"
"December-07","5.6","73.7","68.0","110.6","285.9","217.9","42.6","175.3"
"January-08","5.4","68.8","63.4","109.2","285.6","222.2","45.9","176.3"
"February-08","6.5","79.9","73.4","112.7","282.5","209.1","39.3","169.8"
"March-08","6.4","73.7","67.3","110.0","283.3","216.0","42.7","173.3"
"April-08","6.9","84.3","77.4","119.4","285.8","208.4","42.0","166.4"
"May-08","8.0","108.0","100.0","135.5","290.3","190.4","35.5","154.8"
"June-08","8.0","102.3","94.3","134.8","293.3","198.9","40.5","158.5"
"July-08","8.7","105.6","96.9","139.9","296.2","199.3","43.0","156.3"
"August-08","9.2","117.0","107.8","148.5","301.7","193.9","40.8","153.2"
"September-08","7.9","98.7","90.7","134.4","302.6","211.9","43.6","168.2"
"October-08","6.8","88.0","81.2","125.3","301.7","220.5","44.2","176.4"
"November-08","5.1","72.7","67.6","112.7","300.3","232.7","45.1","187.6"
"December-08","4.7","74.4","69.7","114.4","300.5","230.8","44.7","186.1"
"January-09","5.5","77.5","72.0","112.8","299.6","227.6","40.7","186.9"
"February-09","5.4","79.3","74.0","111.0","296.1","222.2","37.1","185.1"
"March-09","5.4","79.4","74.1","111.2","294.2","220.2","37.2","183.0"
"April-09","5.7","80.1","74.4","112.1","291.4","217.0","37.7","179.3"
"May-09","5.9","80.7","74.9","112.3","295.4","220.5","37.5","183.1"
"June-09","5.9","78.9","73.0","109.0","295.4","222.4","36.1","186.3"
"July-09","5.7","79.9","74.2","111.4","295.7","221.5","37.2","184.3"
"August-09","5.2","68.4","63.2","106.8","293.4","230.2","43.6","186.6"
"September-09","5.2","70.0","64.8","106.1","290.6","225.8","41.4","184.5"
"October-09","5.1","70.4","65.3","108.0","288.0","222.7","42.7","180.0"
"November-09","5.8","75.0","69.3","111.1","281.8","212.5","41.8","170.7"
"December-09","6.2","85.7","79.5","122.5","282.0","202.5","43.0","159.5"
"January-10","6.7","93.1","86.4","129.0","287.8","201.3","42.6","158.8"
"February-10","6.7","91.6","84.9","125.1","291.7","206.9","40.3","166.6"
"March-10","7.2","98.0","90.9","130.9","291.4","200.6","40.0","160.6"
"April-10","7.4","107.4","99.9","145.3","291.9","191.9","45.4","146.6"
"May-10","8.1","118.1","109.9","148.6","304.3","194.4","38.6","155.7"
"June-10","7.4","108.9","101.5","143.5","310.4","208.9","42.0","166.9"
"July-10","7.4","108.9","101.5","141.7","318.5","217.0","40.2","176.8"
"August-10","7.6","115.0","107.4","150.2","323.2","215.8","42.8","173.0"
"September-10","8.2","113.4","105.2","149.4","330.0","224.7","44.1","180.6"
"October-10","7.3","98.0","90.7","145.4","336.3","245.6","54.7","190.9"
"November-10","6.4","87.9","81.5","142.5","332.0","250.5","61.1","189.4"
"December-10","6.9","95.2","88.3","142.3","318.8","230.5","54.0","176.5"
"January-11","7.9","103.9","96.0","145.6","324.1","228.2","49.6","178.5"
"February-11","8.7","115.2","106.5","154.0","328.3","221.8","47.4","174.4"
"March-11","9.0","117.1","108.1","156.1","335.7","227.6","47.9","179.7"
"April-11","9.5","127.4","117.9","158.8","337.7","219.8","40.9","178.8"
"May-11","9.6","127.9","118.3","159.1","348.4","230.1","40.9","189.3"
"June-11","10.2","130.7","120.5","158.1","348.1","227.6","37.6","190.0"
"July-11","10.6","134.0","123.3","165.6","346.6","223.3","42.2","181.0"
"August-11","11.2","142.3","131.1","173.0","351.2","220.1","41.9","178.1"
"September-11","10.1","122.4","112.3","165.1","356.1","243.8","52.7","191.1"
"October-11","10.9","128.0","117.1","163.5","346.8","229.7","46.4","183.3"
"November-11","9.4","118.6","109.1","155.3","351.1","241.9","46.2","195.8"
"December-11","9.3","116.2","106.9","152.5","346.1","239.1","45.5","193.6"
"January-12","9.2","116.3","107.0","146.9","349.5","242.5","39.9","202.6"
"February-12","9.6","119.6","109.9","148.4","349.5","239.5","38.5","201.0"
"March-12","9.7","115.7","105.9","144.5","349.0","243.1","38.6","204.5"
"April-12","9.2","110.3","101.1","140.6","345.9","244.9","39.5","205.4"
"May-12","9.3","109.4","100.1","143.9","340.8","240.7","43.8","196.9"
"June-12","10.1","126.9","116.8","155.8","339.7","222.8","39.0","183.9"
"July-12","10.4","130.8","120.4","153.8","343.4","223.1","33.5","189.6"
"August-12","9.5","118.8","109.2","150.7","352.6","243.4","41.5","201.9"
"September-12","8.0","95.1","87.1","141.3","350.7","263.6","54.1","209.5"
"October-12","9.2","110.4","101.3","148.1","348.4","247.2","46.9","200.3"
"November-12","9.4","107.8","98.4","145.3","347.8","249.4","46.9","202.5"
"December-12","9.3","110.6","101.3","145.9","342.7","241.3","44.5","196.8"
"January-13","9.3","114.5","105.1","146.8","345.1","240.0","41.7","198.3"
"February-13","9.0","115.2","106.2","148.8","349.1","242.9","42.6","200.3"
"March-13","8.2","101.5","93.3","139.5","351.7","258.4","46.2","212.2"
"April-13","8.7","107.9","99.2","141.2","350.7","251.5","42.1","209.5"
"May-13","9.6","123.5","113.9","153.0","355.3","241.4","39.2","202.2"
"June-13","10.5","135.9","125.3","167.4","361.7","236.3","42.1","194.3"
"July-13","10.9","136.3","125.4","172.5","369.6","244.2","47.2","197.0"
"August-13","11.0","132.8","121.8","170.7","375.7","253.9","48.9","205.1"
"September-13","11.0","126.9","115.8","168.2","379.2","263.4","52.4","211.0"
"October-13","9.6","121.5","111.9","165.0","380.9","269.1","53.1","215.9"
"November-13","9.4","112.6","103.2","161.2","377.6","274.4","58.0","216.4"
"December-13","9.0","108.8","99.7","156.7","376.1","276.4","56.9","219.5"
"January-14","8.5","109.1","100.7","153.9","375.8","275.1","53.2","221.9"
"February-14","8.6","119.4","110.8","166.5","372.7","261.9","55.7","206.2"
"March-14","11.1","156.7","145.7","199.2","383.0","237.4","53.5","183.8"
"April-14","12.2","166.6","154.4","202.5","395.0","240.6","48.1","192.5"
"May-14","11.8","152.9","141.1","192.0","409.9","268.8","50.9","217.9"
"June-14","11.5","159.6","148.1","207.3","411.6","263.5","59.2","204.3"
"July-14","11.5","178.0","166.5","223.1","412.7","246.2","56.6","189.6"
"August-14","10.8","150.3","139.5","194.9","420.0","280.5","55.4","225.1"
"September-14","10.3","139.0","128.7","189.4","421.5","292.8","60.7","232.1"
"October-14","10.0","140.7","130.7","194.6","414.9","284.1","63.9","220.3"
"November-14","9.3","119.2","109.9","169.5","406.4","296.5","59.6","236.9"
"December-14","9.0","114.5","105.5","159.0","399.1","293.6","53.5","240.1"
"January-15","7.6","101.1","93.4","149.2","398.9","305.5","55.8","249.7"
"February-15","6.4","85.5","79.1","139.9","394.1","315.0","60.8","254.2"
"March-15","6.3","85.3","79.0","133.0","387.4","308.4","54.0","254.5"
"April-15","6.2","84.4","78.2","133.3","376.9","298.7","55.1","243.6"
"May-15","7.4","107.0","99.7","153.0","369.6","269.9","53.3","216.6"
"June-15","7.4","107.1","99.6","150.6","370.3","270.7","50.9","219.8"
"July-15","7.4","105.1","97.8","144.7","376.9","279.2","47.0","232.2"
"August-15","6.6","104.5","98.0","151.8","383.4","285.4","53.8","231.6"
"September-15","5.9","96.6","90.6","151.6","391.9","301.3","61.0","240.3"
"October-15","6.4","98.5","92.1","156.6","397.3","305.2","64.5","240.7"
"November-15","5.6","78.6","72.9","145.9","391.7","318.8","72.9","245.8"
"December-15","5.2","73.5","68.3","139.0","384.6","316.3","70.7","245.6"
"January-16","5.0","75.4","70.4","140.1","379.3","308.9","69.7","239.2"
"February-16","5.8","87.2","81.4","144.1","373.8","292.4","62.7","229.7"
"March-16","6.0","87.8","81.7","145.3","376.0","294.2","63.6","230.7"
"April-16","6.6","89.7","83.1","150.1","379.9","296.8","67.0","229.8"
"May-16","7.2","102.4","95.2","156.0","378.1","282.9","60.8","222.1"
"June-16","7.6","109.3","101.6","158.8","377.0","275.4","57.2","218.2"
"July-16","7.1","105.3","98.1","163.5","378.1","280.0","65.4","214.6"
"August-16","6.8","90.0","83.2","153.3","379.8","296.6","70.1","226.5"
"September-16","6.2","81.1","74.9","155.0","378.9","304.0","80.1","223.9"
"October-16","5.4","69.3","63.9","143.2","374.3","310.4","79.3","231.1"
"November-16","5.2","64.4","59.2","143.3","362.5","303.3","84.1","219.2"
"December-16","5.8","73.8","67.9","148.7","358.3","290.4","80.7","209.7"
"January-17","6.4","85.3","78.9","151.6","357.0","278.1","72.7","205.4"
"February-17","7.0","99.1","92.1","155.6","364.3","272.2","63.5","208.7"
"March-17","6.5","94.6","88.1","162.5","378.0","289.9","74.4","215.5"
"April-17","5.7","82.3","76.7","158.8","374.7","298.0","82.2","215.9"
"May-17","6.4","94.4","87.9","168.2","372.8","284.9","80.3","204.6"
"June-17","7.8","113.3","105.6","178.4","375.6","270.0","72.9","197.2"
"July-17","7.9","121.8","113.9","186.5","383.3","269.4","72.5","196.8"
"August-17","7.8","108.4","100.6","158.4","393.5","292.9","57.8","235.1"
"September-17","6.9","81.6","74.7","129.3","398.5","323.8","54.6","269.2"
"October-17","7.5","81.8","74.4","121.9","390.7","316.3","47.5","268.8"
"November-17","7.0","86.9","79.8","146.6","378.6","298.8","66.7","232.0"
"December-17","6.9","83.2","76.2","146.6","374.0","297.8","70.4","227.4"
"January-18","7.3","94.3","86.9","150.2","375.0","288.1","63.2","224.8"
"February-18","7.7","96.3","88.6","145.0","374.0","285.4","56.4","229.0"
"March-18","7.0","85.0","78.0","132.5","375.3","297.2","54.4","242.8"
"April-18","6.1","74.6","68.4","123.5","375.2","306.8","55.0","251.8"
"May-18","7.0","87.6","80.6","133.3","374.1","293.5","52.7","240.8"
"June-18","7.7","106.6","98.9","160.3","369.7","270.8","61.4","209.4"
"July-18","7.3","103.6","96.2","163.7","373.1","276.8","67.5","209.4"
"August-18","6.0","70.8","64.8","124.7","381.7","316.8","59.9","257.0"
"September-18","5.7","71.9","66.2","136.1","378.5","312.3","69.9","242.4"
"October-18","6.5","88.9","82.4","149.0","372.7","290.3","66.6","223.7"
"November-18","6.5","78.9","72.4","129.2","370.1","297.7","56.8","240.8"
"December-18","5.6","72.1","66.5","134.2","374.0","307.5","67.6","239.8"
"January-19","5.7","75.7","70.0","135.0","371.4","301.4","64.9","236.4"
"February-19","5.8","70.5","64.7","119.4","373.1","308.4","54.7","253.7"
"March-19","5.8","79.4","73.6","139.0","379.9","306.3","65.4","241.0"
"April-19","7.3","107.9","100.5","164.9","378.7","278.2","64.4","213.8"
"May-19","8.0","111.5","103.5","156.0","388.3","284.8","52.5","232.3"
"June-19","7.8","105.8","98.0","148.4","392.0","294.0","50.4","243.6"
"July-19","7.2","99.2","92.0","148.6","392.7","300.7","56.6","244.1"
"August-19","7.1","103.7","96.6","161.5","389.6","293.0","64.9","228.1"
"September-19","6.0","78.1","72.1","131.8","387.9","315.9","59.7","256.2"
"October-19","6.0","83.7","77.7","144.9","391.2","313.5","67.2","246.2"
"November-19","5.5","79.2","73.6","153.1","386.0","312.4","79.5","232.9"
"December-19","6.0","79.0","73.1","141.9","381.1","308.0","68.8","239.2"
"January-20","6.2","81.2","75.0","136.3","383.7","308.7","61.2","247.5"
"February-20","6.5","75.8","69.4","115.4","386.4","317.1","46.1","271.0"
"March-20","6.4","81.5","75.1","129.2","384.6","309.5","54.1","255.3"
"April-20","5.8","67.5","61.7","121.6","389.3","327.6","60.0","267.6"
"May-20","5.4","87.0","81.6","200.7","404.8","323.2","119.0","204.2"
"June-20","5.0","64.1","59.0","139.8","424.5","365.5","80.7","284.8"
"July-20","5.2","64.0","58.7","135.7","417.9","359.1","77.0","282.2"
"August-20","5.7","72.7","67.0","147.1","408.4","341.5","80.1","261.4"
"September-20","6.5","90.5","84.0","169.0","405.3","321.3","85.0","236.3"
"October-20","7.3","104.6","97.3","186.5","408.4","311.1","89.2","221.9"
"November-20","7.6","94.1","86.5","153.0","409.8","323.3","66.5","256.8"
"December-20","7.3","86.0","78.8","142.8","412.0","333.2","64.1","269.1"
"January-21","6.9","88.7","81.9","160.4","412.2","330.4","78.5","251.8"
"February-21","7.4","100.9","93.4","174.4","415.3","321.9","80.9","241.0"
"March-21","8.7","123.0","114.3","204.4","416.5","302.2","90.1","212.1"
"April-21","10.2","141.4","131.2","212.4","432.3","301.1","81.2","219.9"
"May-21","11.0","151.5","140.5","216.3","438.4","297.9","75.8","222.1"
"June-21","11.9","161.1","149.2","225.0","454.6","305.4","75.8","229.6"
"July-21","11.3","151.5","140.3","231.1","460.2","319.9","90.8","229.1"
"August-21","11.2","147.0","135.7","241.4","465.0","329.3","105.6","223.7"
"September-21","10.8","128.7","117.9","206.2","471.6","353.6","88.2","265.4"
"October-21","9.6","117.4","107.8","202.1","481.6","373.8","94.3","279.5"
"November-21","9.4","102.0","92.6","173.4","482.3","389.7","80.8","308.9"
"December-21","9.3","96.8","87.5","164.4","473.7","386.2","76.9","309.2"
"January-22","9.2","104.8","95.6","183.0","475.3","379.8","87.5","292.3"
"February-22","10.3","125.3","115.1","213.2","476.5","361.4","98.1","263.3"
"March-22","11.3","137.7","126.3","212.2","483.6","357.3","85.9","271.4"
"April-22","11.5","137.4","125.9","208.7","488.5","362.6","82.7","279.8"
"May-22","12.1","138.5","126.4","198.3","488.6","362.2","71.9","290.3"
"June-22","12.8","148.1","135.3","203.6","493.1","357.7","68.3","289.4"
"July-22","12.6","157.1","144.4","228.3","494.4","350.0","83.9","266.0"
"August-22","13.0","160.1","147.1","226.3","494.4","347.3","79.2","268.1"
"September-22","12.2","132.8","120.5","193.0","500.0","379.5","72.5","307.0"
"October-22","11.7","126.8","115.1","190.6","504.7","389.6","75.6","314.0"
"November-22","11.6","119.2","107.6","174.7","494.5","386.9","67.1","319.8"
"December-22","11.4","110.3","98.9","162.5","482.9","384.0","63.6","320.4"
"January-23","10.7","100.6","89.9","154.5","478.7","388.8","64.6","324.2"
"February-23","10.6","101.5","90.9","153.3","477.0","386.0","62.4","323.7"
"March-23","10.8","105.4","94.6","154.3","475.6","381.0","59.7","321.4"
"April-23","10.6","96.6","86.1","142.9","472.7","386.6","56.9","329.8"
"May-23","10.7","103.5","92.8","147.0","472.8","379.9","54.2","325.7"
"June-23","10.9","117.9","107.0","169.0","468.4","361.4","62.0","299.4"
"July-23","10.4","138.2","127.8","215.7","470.4","342.6","87.9","254.8"
"August-23","10.3","133.7","123.4","209.6","483.4","360.0","86.2","273.8"
"September-23","9.7","116.7","107.0","185.2","497.6","390.7","78.2","312.5"
"October-23","9.9","108.6","98.7","168.1","504.3","405.6","69.4","336.2"
"November-23","10.0","100.8","90.8","154.9","488.0","397.2","64.1","333.0"
"December-23","8.5","91.1","82.6","147.1","481.6","399.0","64.4","334.5"
